Participant;Age;Gender;Security_number;Security;Secure;Preoccupied;Dismissing;Fearful;Noticing;NotDistracting;NotWorrying;AttentionRegulation;EmotionalAwareness;SelfRegulation;BodyListening;Trusting
2;19,854893908282;2;1;1;4,5;-4;2;-2,5;4;2,66666666666667;3,33333333333333;3,85714285714286;4;3,75;3,33333333333333;5
4;31,8110882956879;1;1;1;7;,5;1;-5;4;2;3,33333333333333;4,28571428571429;4,2;4,25;3,33333333333333;4,33333333333333
6;35,4223134839151;2;1;1;3,5;,5;0;-2;3,5;3,33333333333333;1;2,28571428571429;4;3,25;2;5
9;21,8809034907598;2;1;1;4,5;-1;-1,5;-2;2,5;1,66666666666667;2;2,28571428571429;3,4;1,5;1,66666666666667;3
10;25,9520876112252;1;1;1;3;-,5;2;-2;3,75;2;1,33333333333333;4,28571428571429;3,8;3,75;3;4,66666666666667
13;24,6406570841889;1;1;1;3;0;1,5;-2,5;3,25;1,66666666666667;3;3,42857142857143;3,6;3,25;2,66666666666667;4,66666666666667
16;19,895961670089;1;1;1;4;3,5;-1;-4;4;2;3,66666666666667;3,28571428571429;3,6;3,25;,666666666666667;4,33333333333333
17;22,4531143052704;1;1;1;1,5;-1;-3;-4;3;2;3;2,42857142857143;3,2;2,75;,333333333333333;4,33333333333333
18;22,3682409308693;1;1;1;3,5;-1,5;,5;-2,5;3,5;2,33333333333333;3;3;3,8;2,5;1,33333333333333;3,66666666666667
19;29,5167693360712;1;1;1;1,5;-2,5;1;-2,5;2;1;4;3,28571428571429;2,6;3;1,33333333333333;3,33333333333333
21;18,8583162217659;1;1;1;6,5;1,5;-,5;-2;3,5;2;1,33333333333333;2,57142857142857;3,4;3,25;1,33333333333333;3,66666666666667
24;24,1533196440794;1;1;1;3;1,5;-,5;-2,5;3,75;2,66666666666667;1,66666666666667;3,42857142857143;4,6;3,25;3;3
25;21,3689253935661;1;1;1;2,5;,5;,5;,5;1;2,33333333333333;3;1;1,2;1;,666666666666667;3
26;25,1909650924025;1;1;1;5;-1,5;1;-2,5;3;3;3,66666666666667;2;3,2;3;1,33333333333333;4,66666666666667
27;30,2203969883641;1;1;1;2;-2;,5;-2;1,75;2,33333333333333;3;2,71428571428571;2,2;2;2;3
28;18,4914442162902;1;1;1;5;4;-1;2,5;4;3,33333333333333;1,33333333333333;3,57142857142857;4,6;3,25;4,66666666666667;2,33333333333333
30;25,3771389459274;1;1;1;4;,5;2;-3;3;1,66666666666667;3,66666666666667;3,14285714285714;3,6;2,25;2,66666666666667;4
32;27,9561943874059;2;1;1;4,5;-2,5;2,5;-1,5;3,25;1,33333333333333;2;3,57142857142857;2,4;2;,666666666666667;3,33333333333333
33;26,3518138261465;2;1;1;4;,5;1;-2,5;3,75;2,66666666666667;3;3,42857142857143;4;3;4;4
34;21,8288843258042;2;1;1;3,5;0;,5;-2,5;3,75;1,33333333333333;2;3;4,2;4;3,66666666666667;4
37;24,9308692676249;2;1;1;5;4;-1;-3;3,25;3;3,33333333333333;2,71428571428571;2,6;3;2,33333333333333;2,66666666666667
38;24,9856262833676;1;1;1;6,5;-4;3;-5;1,75;1;4;3,71428571428571;2,6;1,5;1,66666666666667;3,66666666666667
39;23,5263518138261;1;1;1;2;-1;1;-2,5;1,5;2,33333333333333;3,66666666666667;2,14285714285714;2,8;3,25;,666666666666667;3
40;32,703627652293;1;1;1;4,5;,5;,5;-3,5;4;2,66666666666667;2;3,71428571428571;3,2;2,25;2,33333333333333;3,66666666666667
42;23,668720054757;2;1;1;4;-1,5;-1;-3,5;3,5;1,66666666666667;2,33333333333333;3,71428571428571;3,8;2,75;2,33333333333333;4
45;19,5728952772074;2;1;1;2,5;2;,5;-2;3;1,66666666666667;2;2,42857142857143;2;2,25;1;4
46;21,845311430527;2;1;1;4;2;-3;-5;4,25;2;2;3,28571428571429;4,6;2,25;2,33333333333333;4,33333333333333
47;24,5886379192334;1;1;1;2,5;-3;1;1,5;4,25;2;1;3,42857142857143;4,4;3,5;3,33333333333333;3,33333333333333
49;23,8357289527721;2;1;1;2,5;-2;1,5;-2;2,5;1;4;3;3,4;2;1,33333333333333;4,66666666666667
52;23,3921971252567;2;1;1;4,5;-,5;-,5;-4;3,5;1,66666666666667;2;3,57142857142857;3,4;2,25;2;3,66666666666667
54;20,7419575633128;1;1;1;6;-1;0;-4;3,25;3,33333333333333;4;2,85714285714286;3,6;1,5;0;3,33333333333333
